char,name,std,mac,win,pdf
-,hyphen,55,55,55,55
i,i,151,151,151,151
í,iacute,NA,222,355,355
î,icircumflex,NA,224,356,356
ï,idieresis,NA,225,357,357
ì,igrave,NA,223,354,354
j,j,152,152,152,152
k,k,153,153,153,153
l,l,154,154,154,154
&lt;,less,74,74,74,74
¬,logicalnot,NA,302,254,254
ł,lslash,370,NA,NA,233
m,m,155,155,155,155
¯,macron,305,370,257,257
−,minus,NA,NA,NA,212
μ,mu,NA,265,265,265
×,multiply,NA,NA,327,327
n,n,156,156,156,156
9,nine,71,71,71,71
ñ,ntilde,NA,226,361,361
#,numbersign,43,43,43,43
o,o,157,157,157,157
ó,oacute,NA,227,363,363
ô,ocircumflex,NA,231,364,364
ö,odieresis,NA,232,366,366
œ,oe,372,317,234,234
˛,ogonek,316,376,NA,35
ò,ograve,NA,230,362,362
1,one,61,61,61,61
½,onehalf,NA,NA,275,275
¼,onequarter,NA,NA,274,274
¹,onesuperior,NA,NA,271,271
ª,ordfeminine,343,273,252,252
º,ordmasculine,353,274,272,272
ø,oslash,371,277,370,370
õ,otilde,NA,233,365,365
p,p,160,160,160,160
¶,paragraph,266,246,266,266
(,parenleft,50,50,50,50
),parenright,51,51,51,51
%,percent,45,45,45,45
.,period,56,56,56,56
·,periodcentered,264,341,267,267
‰,perthousand,275,344,211,213
+,plus,53,53,53,53
±,plusminus,NA,261,261,261
q,q,161,161,161,161
?,question,77,77,77,77
¿,questiondown,277,300,277,277
&quot;,quotedbl,42,42,42,42
„,quotedblbase,271,343,204,214
“,quotedblleft,252,322,223,215
”,quotedblright,272,323,224,216
‘,quoteleft,140,324,221,217
’,quoteright,47,325,222,220
‚,quotesinglbase,270,342,202,221
',quotesingle,251,47,47,47
r,r,162,162,162,162
®,registered,NA,250,256,256
˚,ring,312,373,NA,36
s,s,163,163,163,163
š,scaron,NA,NA,232,235
§,section,247,244,247,247
;,semicolon,73,73,73,73
7,seven,67,67,67,67
6,six,66,66,66,66
/,slash,57,57,57,57
 ,space,40,40,40,40
£,sterling,243,243,243,243
t,t,164,164,164,164
þ,thorn,NA,NA,376,376
3,three,63,63,63,63
¾,threequarters,NA,NA,276,276
³,threesuperior,NA,NA,263,263
˜,tilde,304,367,230,37
™,trademark,NA,252,231,222
2,two,62,62,62,62
²,twosuperior,NA,NA,262,262
u,u,165,165,165,165
ú,uacute,NA,234,372,372
û,ucircumflex,NA,236,373,373
ü,udieresis,NA,237,374,374
ù,ugrave,NA,235,371,371
_,underscore,137,137,137,137
v,v,166,166,166,166
w,w,167,167,167,167
x,x,170,170,170,170
y,y,171,171,171,171
ý,yacute,NA,NA,375,375
ÿ,ydieresis,NA,330,377,377
¥,yen,245,264,245,245
z,z,172,172,172,172
ž,zcaron,NA,NA,236,236
0,zero,60,60,60,60
